Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0.37, 0.0113335, 0.0994747, 3.35122, 0.0994747, 0.0297172, 0.12847
0.375, 0.0113668, 0.0974167, 3.27383, 0.0974167, 0.0330969, 0.108808
0.38, 0.0114113, 0.0951738, 3.20248, 0.0951738, 0.0322295, 0.103748
0.385, 0.0114396, 0.0930316, 3.12925, 0.0930316, 0.0327226, 0.107808
0.39, 0.0114747, 0.0912118, 3.0605, 0.0912118, 0.0306895, 0.0885801
0.395, 0.011517, 0.0893119, 2.99609, 0.0893119, 0.0316101, 0.12431
0.4, 0.0115498, 0.087317, 2.93151, 0.087317, 0.0318623, 0.107587
0.405, 0.0115919, 0.0857646, 2.87146, 0.0857646, 0.0320968, 0.120428
0.41, 0.0116218, 0.0834629, 2.81051, 0.0834629, 0.0329217, 0.122968
0.415, 0.0116598, 0.0822848, 2.75355, 0.0822848, 0.0304863, 0.103299
0.42, 0.0116948, 0.0803965, 2.6978, 0.0803965, 0.0296493, 0.120811
0.425, 0.0117344, 0.0787765, 2.64493, 0.0787765, 0.0319834, 0.122951
0.43, 0.0117665, 0.077251, 2.59213, 0.077251, 0.0318057, 0.124417
0.435, 0.011802, 0.0760695, 2.54178, 0.0760695, 0.0327562, 0.130987
0.44, 0.0118383, 0.0742784, 2.49319, 0.0742784, 0.0326494, 0.10962
0.445, 0.0118735, 0.0730935, 2.4459, 0.0730935, 0.0311697, 0.107178
0.45, 0.0119079, 0.0716157, 2.39994, 0.0716157, 0.03195, 0.0862168
0.455, 0.0119452, 0.0702124, 2.35596, 0.0702124, 0.0314869, 0.104421
0.46, 0.0119716, 0.0692813, 2.31121, 0.0692813, 0.0333692, 0.109214
0.465, 0.0120158, 0.0679053, 2.27119, 0.0679053, 0.0316624, 0.0789399
0.47, 0.0120418, 0.0667147, 2.22898, 0.0667147, 0.0326876, 0.116383
0.475, 0.0120855, 0.0655814, 2.19124, 0.0655814, 0.0298976, 0.111144
0.48, 0.0121099, 0.0643309, 2.15117, 0.0643309, 0.0307397, 0.112956
0.485, 0.0121503, 0.0632612, 2.11506, 0.0632612, 0.0323664, 0.129876
0.49, 0.0121812, 0.0620904, 2.07834, 0.0620904, 0.0303088, 0.107421
0.495, 0.0122228, 0.0615757, 2.04447, 0.0615757, 0.0333126, 0.118548
0.5, 0.0122446, 0.0600508, 2.00828, 0.0600508, 0.030444, 0.129025
0.505, 0.0122789, 0.0592182, 1.97512, 0.0592182, 0.0315151, 0.090189
0.51, 0.0123172, 0.0583134, 1.94352, 0.0583134, 0.0325954, 0.118084
0.515, 0.0123454, 0.0574165, 1.91119, 0.0574165, 0.0326238, 0.156849
0.52, 0.0123823, 0.056596, 1.88107, 0.056596, 0.0323902, 0.1499
0.525, 0.0124117, 0.0553184, 1.85064, 0.0553184, 0.0323074, 0.110914
0.53, 0.012448, 0.0546046, 1.82201, 0.0546046, 0.0319803, 0.116088
0.535, 0.0124776, 0.0536567, 1.79318, 0.0536567, 0.0329141, 0.150001
0.54, 0.0125185, 0.0529757, 1.76669, 0.0529757, 0.031125, 0.107206
0.545, 0.0125361, 0.0524905, 1.73765, 0.0524905, 0.0319888, 0.149237
0.55, 0.0125796, 0.0513651, 1.71288, 0.0513651, 0.0318096, 0.116298
0.555, 0.0126078, 0.0506418, 1.68669, 0.0506418, 0.0304575, 0.137935
0.56, 0.0126425, 0.0499769, 1.66201, 0.0499769, 0.0332256, 0.140982
0.565, 0.0126729, 0.0492367, 1.63739, 0.0492367, 0.0333662, 0.113662
0.57, 0.0127024, 0.0485043, 1.61326, 0.0485043, 0.031915, 0.117044
0.575, 0.0127342, 0.0479386, 1.59001, 0.0479386, 0.0317495, 0.109851
0.58, 0.0127672, 0.0475706, 1.56746, 0.0475706, 0.0325195, 0.157375
0.585, 0.0128007, 0.0461641, 1.54553, 0.0461641, 0.0313973, 0.11225
0.59, 0.0128303, 0.0459322, 1.52364, 0.0459322, 0.0302582, 0.139632
0.595, 0.0128619, 0.0452595, 1.5025, 0.0452595, 0.0329223, 0.161992
0.6, 0.0128919, 0.0446086, 1.48167, 0.0446086, 0.0312207, 0.112574
0.605, 0.0129255, 0.0441689, 1.46174, 0.0441689, 0.0327934, 0.17275
0.61, 0.0129563, 0.0433711, 1.44196, 0.0433711, 0.0313182, 0.122353
0.615, 0.0129862, 0.042979, 1.42251, 0.042979, 0.0311492, 0.106566
0.62, 0.0130139, 0.042555, 1.40328, 0.042555, 0.0317383, 0.166707
0.625, 0.0130487, 0.0415062, 1.38524, 0.0415062, 0.0299518, 0.124641
0.63, 0.0130752, 0.0414336, 1.36672, 0.0414336, 0.0330805, 0.123037
0.635, 0.0131065, 0.0406802, 1.34912, 0.0406802, 0.0314233, 0.147539
0.64, 0.0131388, 0.0402974, 1.332, 0.0402974, 0.0330154, 0.0977755
0.645, 0.0131686, 0.039787, 1.315, 0.039787, 0.031495, 0.165328
0.65, 0.0131964, 0.0392256, 1.29817, 0.0392256, 0.0322203, 0.146884
0.655, 0.013232, 0.0387629, 1.28246, 0.0387629, 0.0309683, 0.178602
0.66, 0.0132583, 0.0383698, 1.2662, 0.0383698, 0.0332803, 0.0912713
0.665, 0.0132907, 0.0376144, 1.25084, 0.0376144, 0.0332548, 0.116849
0.67, 0.013314, 0.0375934, 1.23497, 0.0375934, 0.0317752, 0.0808508
0.675, 0.0133436, 0.0368703, 1.22001, 0.0368703, 0.033068, 0.157703
0.68, 0.0133801, 0.0365975, 1.20597, 0.0365975, 0.03241, 0.109505
0.685, 0.0134065, 0.0361013, 1.19133, 0.0361013, 0.0300836, 0.10956
0.69, 0.013433, 0.0357041, 1.17699, 0.0357041, 0.031227, 0.169225
0.695, 0.013466, 0.0352221, 1.1635, 0.0352221, 0.0336297, 0.0727271
0.7, 0.0134939, 0.0348659, 1.14986, 0.0348659, 0.0325828, 0.106115
0.705, 0.0135219, 0.0344755, 1.13648, 0.0344755, 0.0330168, 0.164112
0.71, 0.0135513, 0.0340867, 1.1235, 0.0340867, 0.0374371, 0.138813
0.715, 0.0135796, 0.0337032, 1.11067, 0.0337032, 0.0377869, 0.116939
0.72, 0.0136089, 0.033328, 1.09818, 0.033328, 0.0364422, 0.119713
0.725, 0.0136374, 0.0329762, 1.08587, 0.0329762, 0.0374928, 0.124538
0.73, 0.0136661, 0.0326096, 1.0738, 0.0326096, 0.0380958, 0.136813
0.735, 0.0136945, 0.0322639, 1.06195, 0.0322639, 0.0384895, 0.116788
0.74, 0.0137229, 0.0319151, 1.05032, 0.0319151, 0.0363838, 0.117954
0.745, 0.0137512, 0.0315817, 1.0389, 0.0315817, 0.0356279, 0.112588
0.75, 0.0137793, 0.0312468, 1.02768, 0.0312468, 0.0373429, 0.132472
0.755, 0.0138071, 0.0309196, 1.01664, 0.0309196, 0.0356626, 0.203894
0.76, 0.0138375, 0.0305928, 1.00601, 0.0305928, 0.0356778, 0.0961044
0.765, 0.0138606, 0.0303339, 0.995033, 0.0303339, 0.038065, 0.160205
0.77, 0.01389, 0.029917, 0.984712, 0.029917, 0.0388025, 0.190898
0.775, 0.0139203, 0.0297778, 0.974642, 0.0297778, 0.0389003, 0.0825706
0.78, 0.0139466, 0.0293283, 0.964474, 0.0293283, 0.0369319, 0.0805287
0.785, 0.0139735, 0.0290948, 0.954528, 0.0290948, 0.0388567, 0.121086
0.79, 0.0140024, 0.0288074, 0.944897, 0.0288074, 0.0364787, 0.115419
0.795, 0.0140288, 0.0285249, 0.935266, 0.0285249, 0.0378206, 0.159504
0.8, 0.0140566, 0.0282511, 0.925901, 0.0282511, 0.0380512, 0.12955
0.805, 0.0140825, 0.0280174, 0.91657, 0.0280174, 0.0389962, 0.116625
0.81, 0.0141104, 0.027725, 0.907537, 0.027725, 0.0376796, 0.114026
0.815, 0.0141356, 0.0274865, 0.898486, 0.0274865, 0.0363789, 0.107981
0.82, 0.0141657, 0.0271883, 0.889897, 0.0271883, 0.0382267, 0.119087
0.825, 0.0141908, 0.0269572, 0.881143, 0.0269572, 0.0347789, 0.129018
0.83, 0.0142156, 0.0266878, 0.872516, 0.0266878, 0.0382188, 0.117264
0.835, 0.0142451, 0.0264631, 0.864324, 0.0264631, 0.039091, 0.118236
0.84, 0.0142716, 0.0262224, 0.85609, 0.0262224, 0.0381601, 0.117789
0.845, 0.0142981, 0.0259843, 0.847991, 0.0259843, 0.0390516, 0.116925
0.85, 0.0143244, 0.0257476, 0.840015, 0.0257476, 0.0384306, 0.111762
0.855, 0.0143509, 0.0255147, 0.832182, 0.0255147, 0.0378461, 0.126422
0.86, 0.0143772, 0.025287, 0.824461, 0.025287, 0.0362783, 0.127481
0.865, 0.0144034, 0.0250617, 0.816866, 0.0250617, 0.0399518, 0.122504
0.87, 0.0144302, 0.0248297, 0.809423, 0.0248297, 0.0379582, 0.12325
0.875, 0.0144564, 0.024624, 0.802073, 0.024624, 0.0379272, 0.143547
0.88, 0.0144896, 0.0241258, 0.795217, 0.0241258, 0.038159, 0.110606
0.885, 0.0144928, 0.0248642, 0.786842, 0.0248642, 0.0367772, 0.166263
0.89, 0.0145326, 0.0235367, 0.780572, 0.0235367, 0.0376324, 0.164068
0.895, 0.0145582, 0.0236814, 0.773643, 0.0236814, 0.037271, 0.0799898
0.9, 0.0145875, 0.0235392, 0.767021, 0.0235392, 0.0365088, 0.0921425
0.905, 0.0146108, 0.0234986, 0.760183, 0.0234986, 0.0390262, 0.13685
0.91, 0.0146274, 0.0226964, 0.753106, 0.0226964, 0.0375027, 0.131872
0.915, 0.0146608, 0.023267, 0.746998, 0.023267, 0.0398482, 0.132533
0.92, 0.0146928, 0.0230725, 0.740912, 0.0230725, 0.0373154, 0.148762
0.925, 0.0147046, 0.0222404, 0.733908, 0.0222404, 0.0392694, 0.164949
0.93, 0.0147366, 0.0224724, 0.728014, 0.0224724, 0.0387196, 0.116571
0.935, 0.0147586, 0.022141, 0.721717, 0.022141, 0.0358161, 0.165597
0.94, 0.0147855, 0.0218819, 0.715751, 0.0218819, 0.0384389, 0.170668
0.945, 0.014812, 0.021924, 0.709854, 0.021924, 0.0395796, 0.121472
0.95, 0.0148371, 0.0215411, 0.703981, 0.0215411, 0.0391172, 0.130646
0.955, 0.0148596, 0.0216335, 0.698069, 0.0216335, 0.0379959, 0.18059
0.96, 0.0148833, 0.0216308, 0.692301, 0.0216308, 0.0395587, 0.172833
0.965, 0.0149088, 0.0208545, 0.686698, 0.0208545, 0.0381623, 0.0982037
0.97, 0.0149303, 0.0206415, 0.681, 0.0206415, 0.0396679, 0.132734
0.975, 0.0149549, 0.0209712, 0.675523, 0.0209712, 0.0366342, 0.149077
0.98, 0.0149844, 0.0208537, 0.67034, 0.0208537, 0.0383524, 0.104792
0.985, 0.0150107, 0.0204616, 0.665095, 0.0204616, 0.0388277, 0.124414
0.99, 0.0150326, 0.0205106, 0.659726, 0.0205106, 0.0394485, 0.165516
0.995, 0.0150698, 0.0203193, 0.655103, 0.0203193, 0.0393618, 0.123655
1, 0.0150659, 0.0198081, 0.648767, 0.0198081, 0.0388299, 0.122008
1.005, 0.0150977, 0.0200244, 0.644053, 0.0200244, 0.0363926, 0.146463
1.01, 0.0151308, 0.0195154, 0.63946, 0.0195154, 0.0394211, 0.149741
1.015, 0.0151494, 0.0199211, 0.634317, 0.0199211, 0.0377873, 0.19899
1.02, 0.0151735, 0.0194321, 0.629477, 0.0194321, 0.0383433, 0.187838
1.025, 0.0152072, 0.0195002, 0.625099, 0.0195002, 0.0396132, 0.126499
1.03, 0.0152141, 0.0190421, 0.619688, 0.0190421, 0.0389634, 0.147108
1.035, 0.0152397, 0.0190286, 0.615108, 0.0190286, 0.0386892, 0.160029
1.04, 0.0152414, 0.0189787, 0.609634, 0.0189787, 0.0357628, 0.144738
1.045, 0.0153207, 0.0186266, 0.607316, 0.0186266, 0.0376137, 0.135971
1.05, 0.0153145, 0.0186213, 0.601658, 0.0186213, 0.037447, 0.100562
1.055, 0.0153402, 0.0184933, 0.597323, 0.0184933, 0.0378017, 0.196077
1.06, 0.0153658, 0.0183496, 0.593042, 0.0183496, 0.0387825, 0.144253
1.065, 0.0153873, 0.0182616, 0.588661, 0.0182616, 0.0384972, 0.171117
1.07, 0.0153983, 0.0181177, 0.583944, 0.0181177, 0.0382343, 0.125425
1.075, 0.0154396, 0.0179868, 0.580425, 0.0179868, 0.0367071, 0.144427
1.08, 0.0154452, 0.0178293, 0.575621, 0.0178293, 0.0351433, 0.109024
1.085, 0.0154765, 0.0177577, 0.571833, 0.0177577, 0.0363498, 0.16486
1.09, 0.015497, 0.017748, 0.567693, 0.017748, 0.037617, 0.138727
1.095, 0.0155227, 0.0175273, 0.563801, 0.0175273, 0.0382479, 0.158368
1.1, 0.0155402, 0.017375, 0.559662, 0.017375, 0.0374302, 0.146171
